"PRODUCTO","TIENDA","DIA","UNIDADES","PRECIO"
"Manzana a granel",24512,"2019-12-08",272,2.99
"Manzana a granel",24512,"2018-08-29",637.294,2.99
"Manzana a granel",24512,"2019-11-29",826,2.99
"Manzana a granel",24512,"2019-11-22",753,2.99
"Manzana a granel",24512,"2019-01-04",557,2.99
"Manzana a granel",24512,"2018-03-06",674,2.99
"Manzana a granel",24512,"2020-06-18",395,2.99
"Manzana a granel",24512,"2020-02-12",800,2.99
"Manzana a granel",24512,"2019-10-02",846,2.99
"Manzana a granel",24512,"2020-09-04",358,2.99
"Manzana a granel",24512,"2017-12-31",745,2.99
"Manzana a granel",24512,"2020-07-29",364,2.99
"Manzana a granel",24512,"2020-08-20",324,2.99
"Manzana a granel",24512,"2018-01-10",769,2.99
"Manzana a granel",24512,"2019-01-30",574,2.99
"Manzana a granel",24512,"2017-10-13",720,2.99
"Manzana a granel",24512,"2020-04-16",697,2.99
"Manzana a granel",24512,"2019-10-30",822,2.99
"Manzana a granel",24512,"2018-08-11",798,2.99
"Manzana a granel",24512,"2018-10-06",713,2.99
"Manzana a granel",24512,"2019-02-01",525,2.99
"Manzana a granel",24512,"2019-12-13",725,2.99
"Manzana a granel",24512,"2019-08-30",619,2.99
"Manzana a granel",24512,"2018-07-24",575,2.99
"Manzana a granel",24512,"2019-11-07",887,2.99
"Manzana a granel",24512,"2019-04-13",688,2.99
"Manzana a granel",24512,"2018-01-02",643,2.99
"Manzana a granel",24512,"2019-08-01",441,2.99
"Manzana a granel",24512,"2018-10-10",697,2.99
"Manzana a granel",24512,"2020-07-01",373,2.99
"Manzana a granel",24512,"2020-05-22",436,2.99
"Manzana a granel",24512,"2020-08-31",429,2.99
"Manzana a granel",24512,"2019-05-14",526,2.99
"Manzana a granel",24512,"2018-01-12",742,2.99
"Manzana a granel",24512,"2018-08-04",668,2.99
"Manzana a granel",24512,"2018-06-07",631,2.99
"Manzana a granel",24512,"2019-01-05",866,2.99
"Manzana a granel",24512,"2020-01-28",722,2.99
