"PRODUCTO","TIENDA","DIA","UNIDADES","PRECIO"
"Manzana a granel",24512,"2017-10-14",776,2.99
"Manzana a granel",14526,"2019-12-12",659,2.99
"Manzana a granel",14526,"2018-03-15",739,2.99
"Manzana a granel",24512,"2019-03-02",666,2.99
"Manzana a granel",24512,"2018-01-26",695,2.99
"Manzana a granel",24512,"2017-10-30",774,2.99
"Manzana a granel",14526,"2017-11-24",680,2.99
"Manzana a granel",14526,"2020-04-09",322,2.99
"Manzana a granel",24512,"2018-08-13",761,2.99
"Manzana a granel",24512,"2020-08-06",285,2.99
"Manzana a granel",24512,"2017-09-01",617.029,2.99
"Manzana a granel",14526,"2017-09-13",924,2.99
"Manzana a granel",14526,"2017-10-06",794,2.99
"Manzana a granel",14526,"2020-01-07",774,2.99
"Manzana a granel",24512,"2020-06-25",371,2.99
"Manzana a granel",14526,"2018-02-26",785,2.99
"Manzana a granel",24512,"2019-11-15",662,2.99
"Manzana a granel",14526,"2019-07-09",641,2.99
"Manzana a granel",14526,"2018-11-30",713,2.99
"Manzana a granel",24512,"2018-03-22",632,2.99
"Manzana a granel",24512,"2020-04-01",672,2.99
"Manzana a granel",24512,"2019-05-23",496,2.99
"Manzana a granel",24512,"2018-12-28",582,2.99
"Manzana a granel",24512,"2019-02-21",596.971,2.99
"Manzana a granel",14526,"2018-03-01",781,2.99
"Manzana a granel",24512,"2019-11-23",1012,2.99
"Manzana a granel",24512,"2018-08-06",768.058,2.99
"Manzana a granel",24512,"2018-10-16",623,2.99
"Manzana a granel",14526,"2019-06-20",669,2.99
"Manzana a granel",14526,"2019-11-30",576,2.99
"Manzana a granel",14526,"2017-08-21",776.25,2.99
"Manzana a granel",24512,"2020-09-19",504,2.99
"Manzana a granel",14526,"2019-07-26",670,2.99
"Manzana a granel",24512,"2020-03-12",833,2.99
"Manzana a granel",24512,"2020-04-02",805,2.99
"Manzana a granel",14526,"2018-10-24",720,2.99
"Manzana a granel",14526,"2020-09-16",559,2.99
"Manzana a granel",14526,"2019-03-26",845,2.99
"Manzana a granel",14526,"2018-02-21",793,2.99
"Manzana a granel",14526,"2018-07-30",723.378,2.99
"Manzana a granel",14526,"2017-08-30",738,2.99
"Manzana a granel",24512,"2019-06-28",541,2.99
"Manzana a granel",24512,"2017-09-02",777.029,2.99
"Manzana a granel",24512,"2019-12-16",899,2.99
"Manzana a granel",14526,"2017-10-23",913,2.99
"Manzana a granel",24512,"2018-02-27",725,2.99
"Manzana a granel",14526,"2018-10-17",721,2.99
"Manzana a granel",14526,"2018-08-14",643,2.99
"Manzana a granel",24512,"2020-01-18",989,2.99
"Manzana a granel",14526,"2018-08-17",636,2.99
